row_type,metric,horizon,baseline,n_consumers,skew_delta,HL_effect,HL_CI_low,HL_CI_high,p_Wilcoxon_less,p_Wilcoxon_greater,p_friedman,avg_ranks,CD_0.05,p_Wilcoxon_less_adj,p_Wilcoxon_greater_adj,decision
wilcoxon,MSE,1,LSTM,18,-4.184388876344339,-827.8254504814147,-1444.3584428710935,-22.011166549682617,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,MSE,1,CNNLSTM,18,-4.009610507162694,-682.2953795089722,-1142.1145620117188,-24.752928205013273,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,MSE,1,ALL,18,,,,,,,4.712641388238126e-11,"{'CNNLSTM': 2.4444444444444446, 'LSTM': 2.5555555555555554, 'fine_tuned': 1.0}",0.7812335287928025,,,nan
wilcoxon,MSE,3,LSTM,18,-4.186282604061628,-1043.8347953910827,-1790.9480512695313,-33.542808509826656,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,MSE,3,CNNLSTM,18,-4.191008069941181,-1086.0933415145873,-1852.511176269531,-29.690232758164406,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,MSE,3,ALL,18,,,,,,,5.820766091346741e-11,"{'CNNLSTM': 2.5, 'LSTM': 2.5, 'fine_tuned': 1.0}",0.7812335287928025,,,nan
wilcoxon,MSE,7,LSTM,18,-4.201765106544529,-1611.4079071388242,-2872.049793457031,-39.679981427192686,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,MSE,7,CNNLSTM,18,-4.19940251103935,-1618.3336860046384,-2866.2004741210935,-40.700100659132005,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,MSE,7,ALL,18,,,,,,,4.712641388238126e-11,"{'CNNLSTM': 2.4444444444444446, 'LSTM': 2.5555555555555554, 'fine_tuned': 1.0}",0.7812335287928025,,,nan
wilcoxon,MAPE,1,LSTM,18,0.7178711306872702,-0.10629751959443093,-0.13117405796051024,-0.08091794914007183,0.00041961669921875,0.999664306640625,,,,0.0013427734375,1.0,better
wilcoxon,MAPE,1,CNNLSTM,18,0.9826918499072235,-0.09969487177580597,-0.13618775266408922,-0.06789917099475862,0.000789642333984375,0.9993553161621094,,,,0.0013427734375,1.0,better
friedman,MAPE,1,ALL,18,,,,,,,1.4157697078687193e-05,"{'CNNLSTM': 2.2222222222222223, 'LSTM': 2.5555555555555554, 'fine_tuned': 1.2222222222222223}",0.7812335287928025,,,nan
wilcoxon,MAPE,3,LSTM,18,-0.41771919597708146,-0.1808363201208413,-0.22315446972846975,-0.13741094899177558,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,MAPE,3,CNNLSTM,18,-0.16122679609044613,-0.18036785095930102,-0.23594112914800647,-0.1379004857540131,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,MAPE,3,ALL,18,,,,,,,2.4608093340816595e-11,"{'CNNLSTM': 2.611111111111111, 'LSTM': 2.388888888888889, 'fine_tuned': 1.0}",0.7812335287928025,,,nan
wilcoxon,MAPE,7,LSTM,18,1.6295533881755668,-0.19477820995450018,-0.22889894878864292,-0.17226242554187782,0.000335693359375,0.9997329711914062,,,,0.0013427734375,1.0,better
wilcoxon,MAPE,7,CNNLSTM,18,1.9267441052191612,-0.20046246650069957,-0.23281132909655577,-0.16977650612592704,0.00041961669921875,0.999664306640625,,,,0.0013427734375,1.0,better
friedman,MAPE,7,ALL,18,,,,,,,2.0622763086119988e-07,"{'CNNLSTM': 2.5, 'LSTM': 2.388888888888889, 'fine_tuned': 1.1111111111111112}",0.7812335287928025,,,nan
